Voltage[V]	Current[mA]
0.000000	5.339876E-8
0.001000	8.123070E-8
0.002000	3.839007E-8
0.003000	4.491555E-8
0.004000	3.552041E-8
0.005000	3.109749E-8
0.006000	6.627955E-8
0.007000	7.275745E-8
0.008000	1.608512E-8
0.009000	4.852568E-8
0.010000	1.072775E-8
0.011000	9.039597E-8
0.012000	8.779767E-8
0.013000	9.279225E-8
0.014000	9.017758E-11
0.015000	1.285545E-7
0.016000	1.028369E-7
0.017000	1.092939E-7
0.018000	1.063578E-7
0.019000	3.569039E-9
0.020000	3.828827E-9
0.021000	6.933780E-9
0.022000	1.958655E-8
0.023000	1.124267E-7
0.024000	1.750344E-7
0.025000	3.402751E-8
0.026000	5.257262E-8
0.027000	1.391516E-7
0.028000	2.055326E-7
0.029000	9.434373E-8
0.030000	5.485723E-8
0.031000	5.300477E-9
0.032000	2.813959E-7
0.033000	1.938563E-7
0.034000	4.032028E-7
0.035000	4.383649E-7
0.036000	7.870913E-8
0.037000	7.772445E-8
0.038000	8.315215E-8
0.039000	2.032564E-7
0.040000	1.939419E-7
0.041000	2.016023E-7
0.042000	3.770005E-7
0.043000	2.203302E-7
0.044000	1.212464E-7
0.045000	2.143985E-7
0.046000	1.351426E-7
0.047000	1.424441E-7
0.048000	2.252235E-7
0.049000	1.545986E-7
0.050000	1.621000E-7
0.051000	2.508450E-7
0.052000	2.680655E-7
0.053000	2.676846E-7
0.054000	1.918990E-7
0.055000	2.150506E-7
0.056000	2.625687E-7
0.057000	1.957966E-7
0.058000	2.261759E-7
0.059000	3.213992E-7
0.060000	2.631761E-7
0.061000	2.674739E-7
0.062000	2.807890E-7
0.063000	3.178439E-7
0.064000	2.913932E-7
0.065000	6.906416E-7
0.066000	2.902159E-7
0.067000	2.621590E-7
0.068000	3.159986E-7
0.069000	6.757908E-7
0.070000	9.849730E-7
0.071000	4.999829E-7
0.072000	7.838612E-8
0.073000	3.994622E-7
0.074000	3.722693E-7
0.075000	2.682112E-7
0.076000	1.047698E-6
0.077000	1.125967E-7
0.078000	7.907049E-7
0.079000	1.676787E-7
0.080000	3.297821E-7
0.081000	9.084461E-7
0.082000	7.587344E-7
0.083000	1.178212E-6
0.084000	3.516899E-7
0.085000	1.010251E-6
0.086000	4.535229E-7
0.087000	6.126633E-8
0.088000	3.574087E-7
0.089000	4.217525E-7
0.090000	1.238627E-6
0.091000	1.813353E-8
0.092000	6.467227E-7
0.093000	1.565161E-7
0.094000	1.976861E-7
0.095000	1.176008E-6
0.096000	2.311246E-7
0.097000	7.332600E-7
0.098000	2.191871E-7
0.099000	2.929769E-7
0.100000	1.513251E-7
0.101000	6.644424E-7
0.102000	3.756000E-7
0.103000	1.550859E-6
0.104000	1.567988E-6
0.105000	1.375107E-6
0.106000	1.078170E-6
0.107000	9.791873E-7
0.108000	5.234327E-7
0.109000	5.295721E-7
0.110000	5.151071E-7
0.111000	1.385125E-6
0.112000	9.530733E-7
0.113000	1.527047E-6
0.114000	7.250674E-7
0.115000	8.954827E-7
0.116000	2.058075E-6
0.117000	9.252787E-7
0.118000	2.038330E-6
0.119000	1.706452E-6
0.120000	1.292290E-6
0.121000	1.419201E-6
0.122000	1.892154E-6
0.123000	9.442654E-7
0.124000	1.238002E-6
0.125000	2.084676E-6
0.126000	1.133640E-6
0.127000	1.445373E-6
0.128000	1.496452E-6
0.129000	1.556996E-6
0.130000	1.590456E-6
0.131000	1.630955E-6
0.132000	1.665320E-6
0.133000	1.381209E-6
0.134000	1.586447E-6
0.135000	1.514759E-6
0.136000	1.763293E-6
0.137000	2.628271E-6
0.138000	1.687839E-6
0.139000	1.991924E-6
0.140000	2.015913E-6
0.141000	2.073378E-6
0.142000	2.101790E-6
0.143000	2.271737E-6
0.144000	2.204149E-6
0.145000	2.234944E-6
0.146000	2.324751E-6
0.147000	2.650650E-6
0.148000	2.725431E-6
0.149000	2.491804E-6
0.150000	2.807600E-6
0.151000	2.993687E-6
0.152000	2.708449E-6
0.153000	2.742153E-6
0.154000	2.812601E-6
0.155000	3.245742E-6
0.156000	2.961508E-6
0.157000	3.031712E-6
0.158000	3.072191E-6
0.159000	3.125874E-6
0.160000	3.202637E-6
0.161000	3.293863E-6
0.162000	3.413744E-6
0.163000	4.638718E-6
0.164000	4.453014E-6
0.165000	3.580877E-6
0.166000	3.946481E-6
0.167000	3.900702E-6
0.168000	3.875223E-6
0.169000	3.935674E-6
0.170000	3.994361E-6
0.171000	4.122151E-6
0.172000	4.216218E-6
0.173000	4.315146E-6
0.174000	4.389399E-6
0.175000	4.521537E-6
0.176000	5.024026E-6
0.177000	5.714301E-6
0.178000	5.806957E-6
0.179000	5.098129E-6
0.180000	8.063520E-6
0.181000	7.934302E-6
0.182000	5.327072E-6
0.183000	6.050524E-6
0.184000	8.131651E-6
0.185000	8.219629E-6
0.186000	5.547972E-6
0.187000	6.041983E-6
0.188000	7.061884E-6
0.189000	6.914063E-6
0.190000	7.016613E-6
0.191000	6.366526E-6
0.192000	6.020048E-6
0.193000	6.301367E-6
0.194000	6.423685E-6
0.195000	8.914203E-6
0.196000	9.381437E-6
0.197000	9.673309E-6
0.198000	6.663484E-6
0.199000	9.925103E-6
0.200000	1.007977E-5
0.201000	1.024201E-5
0.202000	9.343812E-6
0.203000	9.665929E-6
0.204000	8.018250E-6
0.205000	9.790611E-6
0.206000	1.083585E-5
0.207000	1.176530E-5
0.208000	1.103951E-5
0.209000	1.207942E-5
0.210000	1.237752E-5
0.211000	1.102713E-5
0.212000	9.958371E-6
0.213000	1.175707E-5
0.214000	1.176437E-5
0.215000	1.299763E-5
0.216000	1.379827E-5
0.217000	1.261156E-5
0.218000	1.287694E-5
0.219000	1.233851E-5
0.220000	1.441853E-5
0.221000	1.591831E-5
0.222000	1.603517E-5
0.223000	1.637314E-5
0.224000	1.548407E-5
0.225000	1.511794E-5
0.226000	1.613762E-5
0.227000	1.717621E-5
0.228000	1.462367E-5
0.229000	1.552489E-5
0.230000	1.629302E-5
0.231000	1.552474E-5
0.232000	1.679734E-5
0.233000	1.797331E-5
0.234000	1.829314E-5
0.235000	1.909404E-5
0.236000	1.826973E-5
0.237000	1.975472E-5
0.238000	1.870959E-5
0.239000	2.034679E-5
0.240000	2.035671E-5
0.241000	2.004040E-5
0.242000	0.002041
0.243000	0.002087
0.244000	0.203076
0.245000	0.207867
0.246000	0.212841
0.247000	0.217915
0.248000	0.223173
0.249000	0.228372
0.250000	0.233766
0.251000	0.239283
0.252000	0.244957
0.253000	0.250718
0.254000	0.256695
0.255000	0.262770
0.256000	0.269037
0.257000	0.275331
0.258000	0.282526
0.259000	0.289210
0.260000	0.294835
0.261000	0.302111
0.262000	0.309236
0.263000	0.316770
0.264000	0.325035
0.265000	0.332481
0.266000	0.339815
0.267000	0.347927
0.268000	0.356224
0.269000	0.364647
0.270000	0.374219
0.271000	0.382021
0.272000	0.391334
0.273000	0.400897
0.274000	0.410514
0.275000	0.419849
0.276000	0.429834
0.277000	0.440188
0.278000	0.450676
0.279000	0.461285
0.280000	0.472283
0.281000	0.483651
0.282000	0.495204
0.283000	0.507087
0.284000	0.519233
0.285000	0.531432
0.286000	0.544233
0.287000	0.557441
0.288000	0.570832
0.289000	0.585030
0.290000	0.598883
0.291000	0.614901
0.292000	0.627914
0.293000	0.643175
0.294000	0.658751
0.295000	0.674758
0.296000	0.691161
0.297000	0.708000
0.298000	0.725346
0.299000	0.742983
0.300000	0.761057
0.301000	0.779758
0.302000	0.798883
0.303000	0.818506
0.304000	0.838622
0.305000	0.859233
0.306000	0.880432
0.307000	0.902170
0.308000	0.924583
0.309000	0.947497
0.310000	0.971104
0.311000	0.995263
0.312000	1.020073
0.313000	1.045364
0.314000	1.071688
0.315000	1.098520
0.316000	1.126001
