Voltage[V]	Current[mA]
0.000000	3.123055E-8
0.002000	3.301228E-8
0.004000	6.326432E-8
0.006000	6.444199E-8
0.008000	6.467536E-8
0.010000	7.842085E-8
0.012000	1.136373E-8
0.014000	1.041116E-10
0.016000	9.542789E-8
0.018000	1.016665E-7
0.020000	1.390944E-8
0.022000	2.453045E-8
0.024000	3.050262E-8
0.026000	1.161321E-7
0.028000	6.200607E-7
0.030000	6.042167E-7
0.032000	6.580116E-8
0.034000	6.208733E-8
0.036000	1.994692E-7
0.038000	9.159588E-8
0.040000	1.015408E-7
0.042000	1.134663E-7
0.044000	1.986680E-7
0.046000	2.056073E-7
0.048000	2.193381E-7
0.050000	1.484214E-7
0.052000	2.273375E-7
0.054000	1.807843E-7
0.056000	2.337073E-7
0.058000	2.875550E-7
0.060000	2.941966E-7
0.062000	3.133510E-7
0.064000	2.547796E-7
0.066000	2.634215E-7
0.068000	2.847525E-7
0.070000	2.113093E-7
0.072000	1.223305E-8
0.074000	3.584731E-8
0.076000	8.955533E-7
0.078000	2.559240E-7
0.080000	1.076943E-6
0.082000	2.449870E-7
0.084000	7.430044E-8
0.086000	4.657351E-7
0.088000	1.292769E-6
0.090000	9.200776E-7
0.092000	9.786572E-7
0.094000	9.684215E-7
0.096000	1.032179E-6
0.098000	8.417213E-7
0.100000	1.492825E-6
0.102000	7.372064E-7
0.104000	1.279597E-6
0.106000	1.621389E-6
0.108000	1.069911E-6
0.110000	3.458676E-7
0.112000	8.709024E-7
0.114000	1.315423E-6
0.116000	1.011645E-6
0.118000	1.931949E-6
0.120000	1.983351E-6
0.122000	1.434882E-6
0.124000	1.552130E-6
0.126000	2.013663E-6
0.128000	1.175361E-6
0.130000	8.507025E-7
0.132000	1.062520E-6
0.134000	2.015671E-6
0.136000	1.971587E-6
0.138000	1.278873E-6
0.140000	1.340535E-6
0.142000	1.568997E-6
0.144000	1.667741E-6
0.146000	2.662799E-6
0.148000	3.241967E-6
0.150000	3.083928E-6
0.152000	2.025361E-6
0.154000	2.145484E-6
0.156000	3.653582E-6
0.158000	3.722969E-6
0.160000	3.840266E-6
0.162000	2.849670E-6
0.164000	2.897977E-6
0.166000	3.968535E-6
0.168000	3.522293E-6
