Voltage[V]	Current[mA]
0,000000	9,424529E-7
0,100000	3,467964E-5
0,200000	6,847443E-5
0,300000	0,000102
0,400000	0,000136
0,500000	0,000170
0,600000	0,000203
0,700000	0,006595
0,800000	0,006731
0,900000	0,006853
1,000000	0,006964
1,100000	0,007066
1,200000	0,007162
1,300000	0,007252
1,400000	0,007337
1,500000	0,007419
1,600000	0,007497
1,700000	0,007572
1,800000	0,007644
1,900000	0,007714
2,000000	0,007783
2,100000	0,007849
2,200000	0,007914
2,300000	0,007977
2,400000	0,008040
2,500000	0,008100
2,600000	0,008160
2,700000	0,008218
2,800000	0,008276
2,900000	0,008333
3,000000	0,008389
3,100000	0,008444
3,200000	0,008499
3,300000	0,008552
3,400000	0,008606
3,500000	0,008658
3,600000	0,008710
3,700000	0,008762
3,800000	0,008813
3,900000	0,008863
4,000000	0,008913
4,100000	0,008963
4,200000	0,009013
4,300000	0,009061
4,400000	0,009110
4,500000	0,009158
4,600000	0,009206
4,700000	0,009253
4,800000	0,009301
4,900000	0,009348
5,000000	0,009399
