Voltage[V]	Current[mA]
0,000000	-3,565943E-8
1,000000	0,000338
2,000000	0,000675
3,000000	0,001013
4,000000	0,001350
5,000000	0,001687
6,000000	0,001734
7,000000	0,001732
8,000000	0,001729
9,000000	0,001749
10,000000	0,001749
11,000000	0,001749
12,000000	0,001749
13,000000	0,001749
14,000000	0,001749
15,000000	0,001749
16,000000	0,001748
17,000000	0,001748
18,000000	0,001748
19,000000	0,001748
20,000000	0,001748
21,000000	0,001748
22,000000	0,001748
23,000000	0,001748
24,000000	0,001748
25,000000	0,001748
26,000000	0,001748
27,000000	0,001748
28,000000	0,001748
29,000000	0,001747
30,000000	0,001748
31,000000	0,001747
32,000000	0,001747
33,000000	0,001747
34,000000	0,001747
35,000000	0,001747
36,000000	0,001747
37,000000	0,001747
38,000000	0,001747
39,000000	0,001747
40,000000	0,001747
41,000000	0,001746
42,000000	0,001746
43,000000	0,001746
44,000000	0,001746
45,000000	0,001746
46,000000	0,001746
47,000000	0,001745
48,000000	0,001745
49,000000	0,001745
