Voltage[V]	Current[mA]
0,000000	-2,436859E-7
0,250000	8,435217E-5
0,500000	0,000169
0,750000	0,005471
1,000000	0,005774
1,250000	0,006023
1,500000	0,006239
1,750000	0,006433
2,000000	0,006612
2,250000	0,006779
2,500000	0,006938
2,750000	0,007089
3,000000	0,007234
3,250000	0,007374
3,500000	0,007510
3,750000	0,007643
4,000000	0,007772
4,250000	0,007899
4,500000	0,008023
4,750000	0,008145
5,000000	0,008270
5,250000	0,008388
5,500000	0,008505
5,750000	0,008620
6,000000	0,008734
6,250000	0,008847
6,500000	0,008959
6,750000	0,009069
7,000000	0,009179
7,250000	0,009288
7,500000	0,009396
7,750000	0,009503
8,000000	0,009610
8,250000	0,009715
8,500000	0,009821
8,750000	0,009925
9,000000	0,010029
9,250000	0,010133
9,500000	0,010236
9,750000	0,010339
10,000000	0,010441
