Voltage[V]	Current[mA]
0,000000	1,013717E-6
0,500000	0,000170
1,000000	0,006908
1,500000	0,007365
2,000000	0,007732
2,500000	0,008052
3,000000	0,008343
3,500000	0,008615
4,000000	0,008873
4,500000	0,009119
5,000000	0,009363
5,500000	0,009594
6,000000	0,009821
6,500000	0,010042
7,000000	0,010260
7,500000	0,010474
8,000000	0,010685
8,500000	0,010894
9,000000	0,011100
9,500000	0,011304
10,000000	0,011507
10,500000	0,011708
11,000000	0,011907
11,500000	0,012105
12,000000	0,012302
12,500000	0,012497
13,000000	0,012692
13,500000	0,012885
14,000000	0,013078
14,500000	0,013273
15,000000	0,013464
15,500000	0,013654
16,000000	0,013844
16,500000	0,014033
17,000000	0,014221
17,500000	0,014408
18,000000	0,014596
18,500000	0,014782
19,000000	0,014968
19,500000	0,015154
20,000000	0,015339
20,500000	0,015524
21,000000	0,015708
21,500000	0,015892
22,000000	0,016076
22,500000	0,016259
23,000000	0,016442
23,500000	0,016625
24,000000	0,016811
24,500000	0,016993
25,000000	0,017175
25,500000	0,017357
26,000000	0,017538
26,500000	0,017719
27,000000	0,017900
27,500000	0,018080
28,000000	0,018261
28,500000	0,018441
29,000000	0,018621
29,500000	0,018801
30,000000	0,018980
30,500000	0,019160
31,000000	0,019339
31,500000	0,019518
32,000000	0,019697
32,500000	0,019876
33,000000	0,020054
33,500000	0,020233
34,000000	0,020415
34,500000	0,020593
35,000000	0,020771
35,500000	0,020949
36,000000	0,850392
36,500000	0,851243
37,000000	0,852090
37,500000	0,852920
38,000000	0,853752
38,500000	0,854564
39,000000	0,855370
39,500000	0,856169
40,000000	0,856954
40,500000	0,857740
41,000000	0,858511
41,500000	0,859272
42,000000	0,860039
42,500000	0,860785
43,000000	0,861527
43,500000	0,862284
44,000000	0,863009
44,500000	0,863739
45,000000	0,864450
45,500000	0,865156
46,000000	0,865863
46,500000	0,866553
47,000000	0,867258
47,500000	0,867940
48,000000	0,868611
48,500000	0,869293
49,000000	0,869959
49,500000	0,870621
50,000000	0,871278
