Voltage[V]	Current[mA]
0,000000	7,009511E-8
0,500000	0,000169
1,000000	0,006356
1,500000	0,006815
2,000000	0,007184
2,500000	0,007507
3,000000	0,007800
3,500000	0,008074
4,000000	0,008333
4,500000	0,008582
5,000000	0,008822
5,500000	0,009055
6,000000	0,009283
6,500000	0,009505
7,000000	0,009724
7,500000	0,009940
8,000000	0,010152
8,500000	0,010361
9,000000	0,010569
9,500000	0,010774
10,000000	0,010977
10,500000	0,011179
11,000000	0,011379
11,500000	0,011578
12,000000	0,011775
12,500000	0,011972
13,000000	0,012167
13,500000	0,012361
14,000000	0,012554
14,500000	0,012747
15,000000	0,012938
15,500000	0,013129
16,000000	0,013319
16,500000	0,013509
17,000000	0,013697
17,500000	0,013886
18,000000	0,014074
18,500000	0,014261
19,000000	0,014447
19,500000	0,014634
20,000000	0,014819
20,500000	0,015005
21,000000	0,015189
21,500000	0,015374
22,000000	0,015558
22,500000	0,015742
23,000000	0,015926
23,500000	0,016109
24,000000	0,016292
24,500000	0,016474
25,000000	0,016656
25,500000	0,016839
26,000000	0,017021
26,500000	0,017202
27,000000	0,017383
27,500000	0,017565
28,000000	0,017745
28,500000	0,017926
29,000000	0,018106
29,500000	0,018287
30,000000	0,018466
30,500000	0,018646
31,000000	0,018826
31,500000	0,019005
32,000000	0,019185
32,500000	0,019364
33,000000	0,019543
33,500000	0,019721
34,000000	0,019900
34,500000	0,020079
35,000000	0,020257
35,500000	0,020435
36,000000	0,020613
36,500000	0,020791
37,000000	0,020969
37,500000	0,802718
38,000000	0,803557
38,500000	0,804384
39,000000	0,805194
39,500000	0,806018
40,000000	0,806811
40,500000	0,807611
41,000000	0,808390
41,500000	0,809167
42,000000	0,809937
42,500000	0,810698
43,000000	0,811450
43,500000	0,812192
44,000000	0,812934
44,500000	0,813673
45,000000	0,814400
45,500000	0,815111
46,000000	0,815820
46,500000	0,816532
47,000000	0,817235
47,500000	0,817927
48,000000	0,818620
48,500000	0,819300
49,000000	0,819971
