Voltage[V]	Current[mA]
50.000000	5.556682E-6
50.010000	3.186430E-6
50.020000	3.511496E-6
50.030000	3.449550E-6
50.040000	5.254816E-6
50.050000	5.354779E-6
50.060000	5.600242E-6
50.070000	3.723500E-6
50.080000	3.506998E-6
50.090000	3.941947E-6
50.100000	5.325840E-6
50.110000	5.547383E-6
50.120000	5.674762E-6
50.130000	4.117739E-6
50.140000	5.687716E-6
50.150000	3.618665E-6
50.160000	3.788542E-6
50.170000	5.705813E-6
50.180000	3.459378E-6
50.190000	3.564318E-6
50.200000	3.271758E-6
50.210000	5.508407E-6
50.220000	5.383351E-6
50.230000	3.239877E-6
50.240000	4.559224E-6
50.250000	4.152383E-6
50.260000	5.880075E-6
50.270000	5.055966E-6
50.280000	4.120742E-6
50.290000	3.503334E-6
50.300000	5.733563E-6
50.310000	3.452023E-6
50.320000	3.538998E-6
50.330000	3.212379E-6
50.340000	4.059476E-6
50.350000	3.441794E-6
50.360000	3.450208E-6
50.370000	4.152527E-6
50.380000	3.565931E-6
50.390000	4.153395E-6
50.400000	4.119897E-6
50.410000	6.044692E-6
50.420000	4.507479E-6
50.430000	6.004651E-6
50.440000	3.737373E-6
50.450000	3.614688E-6
50.460000	5.818381E-6
50.470000	3.641065E-6
50.480000	6.157743E-6
50.490000	4.762916E-6
50.500000	3.967459E-6
50.510000	3.836876E-6
50.520000	3.324563E-6
50.530000	5.731983E-6
50.540000	3.575738E-6
50.550000	3.709559E-6
50.560000	3.578689E-6
50.570000	5.590240E-6
50.580000	3.593373E-6
50.590000	3.436008E-6
50.600000	3.483427E-6
50.610000	5.623798E-6
50.620000	3.608789E-6
50.630000	3.988924E-6
50.640000	3.970425E-6
50.650000	3.953635E-6
50.660000	4.565244E-6
50.670000	5.084741E-6
50.680000	3.755294E-6
50.690000	5.047680E-6
50.700000	4.844737E-6
50.710000	6.092923E-6
50.720000	6.320890E-6
50.730000	5.670053E-6
50.740000	6.746661E-6
50.750000	4.004427E-6
50.760000	3.752688E-6
50.770000	6.719479E-6
50.780000	6.730564E-6
50.790000	5.215055E-6
50.800000	4.122952E-6
50.810000	4.559097E-6
50.820000	6.841180E-6
50.830000	6.909453E-6
50.840000	5.253201E-6
50.850000	4.155411E-6
50.860000	4.407723E-6
50.870000	6.565815E-6
50.880000	4.091701E-6
50.890000	3.840912E-6
50.900000	3.638738E-6
50.910000	6.605935E-6
50.920000	4.008964E-6
50.930000	4.018695E-6
50.940000	4.098760E-6
50.950000	5.940013E-6
50.960000	4.540595E-6
50.970000	6.222590E-6
50.980000	6.289886E-6
50.990000	4.634416E-6
51.000000	4.146214E-6
51.010000	3.838723E-6
51.020000	5.130955E-6
51.030000	4.087607E-6
51.040000	4.466059E-6
51.050000	6.562447E-6
51.060000	5.643768E-6
51.070000	3.877821E-6
51.080000	4.116605E-6
51.090000	4.699256E-6
51.100000	6.911901E-6
51.110000	5.593361E-6
51.120000	7.525338E-6
51.130000	4.462522E-6
51.140000	4.270917E-6
51.150000	3.926012E-6
51.160000	5.357780E-6
51.170000	3.981293E-6
51.180000	6.710866E-6
51.190000	7.011244E-6
51.200000	5.931593E-6
51.210000	3.987056E-6
51.220000	4.059157E-6
51.230000	4.543541E-6
51.240000	5.844353E-6
51.250000	4.986953E-6
51.260000	7.206125E-6
51.270000	4.485498E-6
51.280000	7.240421E-6
51.290000	4.820512E-6
51.300000	6.713655E-6
51.310000	5.046326E-6
51.320000	4.761302E-6
51.330000	5.108133E-6
51.340000	5.121953E-6
51.350000	5.885251E-6
51.360000	4.845368E-6
51.370000	5.076119E-6
51.380000	5.574679E-6
51.390000	7.303154E-6
51.400000	8.509025E-6
51.410000	5.862396E-6
51.420000	6.889267E-6
51.430000	5.503377E-6
51.440000	8.239898E-6
51.450000	8.981448E-6
51.460000	7.273142E-6
51.470000	9.694687E-6
51.480000	7.907518E-6
51.490000	8.416953E-6
51.500000	8.451189E-6
51.510000	7.441809E-6
51.520000	1.021353E-5
51.530000	1.139423E-5
51.540000	8.880686E-6
51.550000	1.105841E-5
51.560000	1.158848E-5
51.570000	1.253131E-5
51.580000	1.260743E-5
51.590000	1.325663E-5
51.600000	1.270438E-5
51.610000	1.381947E-5
51.620000	1.488734E-5
51.630000	1.426206E-5
51.640000	1.514670E-5
51.650000	1.574434E-5
51.660000	1.583807E-5
51.670000	1.776484E-5
51.680000	1.780014E-5
51.690000	1.608148E-5
51.700000	1.662296E-5
51.710000	1.928663E-5
51.720000	1.910355E-5
51.730000	2.055789E-5
51.740000	2.005669E-5
51.750000	0.002048
51.760000	0.002122
51.770000	0.002193
51.780000	0.002270
51.790000	0.002341
51.800000	0.002377
51.810000	0.002473
51.820000	0.002535
51.830000	0.002617
51.840000	0.002694
51.850000	0.002766
51.860000	0.002836
51.870000	0.002886
51.880000	0.002982
51.890000	0.003023
51.900000	0.003101
51.910000	0.003156
51.920000	0.003224
51.930000	0.003292
51.940000	0.003333
51.950000	0.003430
51.960000	0.003482
51.970000	0.003538
51.980000	0.003582
51.990000	0.003628
52.000000	0.003695
52.010000	0.003732
52.020000	0.003794
52.030000	0.003836
52.040000	0.003873
52.050000	0.003922
52.060000	0.003970
52.070000	0.003993
52.080000	0.004037
52.090000	0.004082
52.100000	0.004106
52.110000	0.004158
52.120000	0.004201
52.130000	0.004224
52.140000	0.004262
52.150000	0.004283
52.160000	0.004322
52.170000	0.004345
52.180000	0.004397
52.190000	0.004415
52.200000	0.004444
52.210000	0.004474
52.220000	0.004498
52.230000	0.004537
52.240000	0.004558
52.250000	0.004583
52.260000	0.004609
52.270000	0.004631
52.280000	0.004655
52.290000	0.004685
52.300000	0.004702
52.310000	0.004733
52.320000	0.004767
52.330000	0.004785
52.340000	0.004790
52.350000	0.004819
52.360000	0.004833
52.370000	0.004873
52.380000	0.004880
52.390000	0.004896
52.400000	0.004919
52.410000	0.004939
52.420000	0.004954
52.430000	0.004979
52.440000	0.004998
52.450000	0.005018
52.460000	0.005026
52.470000	0.005057
52.480000	0.005060
52.490000	0.005085
52.500000	0.005089
52.510000	0.005113
52.520000	0.005129
52.530000	0.005147
