Voltage[V]	Current[mA]
5,000000	0,008252
4,500000	0,008010
4,000000	0,007759
3,500000	0,007496
3,000000	0,007219
2,500000	0,006923
2,000000	0,006597
1,500000	0,006223
1,000000	0,005758
0,500000	0,005039
0,000000	2,549593E-8
0,500000	0,000169
1,000000	0,033662
1,500000	0,050611
2,000000	0,067488
2,500000	0,084360
3,000000	0,101216
3,500000	0,118085
4,000000	0,134974
4,500000	0,151841
5,000000	0,168694
5,500000	0,181360
6,000000	0,181356
6,500000	0,181325
7,000000	0,181311
7,500000	0,181308
8,000000	0,181305
8,500000	0,181297
9,000000	0,181294
9,500000	0,181292
10,000000	0,181284
