Voltage[V]	Current[mA]
0,000000	1,905419E-8
1,000000	0,000338
2,000000	0,000675
3,000000	0,001013
4,000000	0,001350
5,000000	0,001687
6,000000	0,001787
7,000000	0,001787
8,000000	0,001787
9,000000	0,001786
10,000000	0,001786
11,000000	0,001786
12,000000	0,001786
13,000000	0,001786
14,000000	0,001785
15,000000	0,001785
16,000000	0,001785
17,000000	0,001785
18,000000	0,001785
19,000000	0,001784
20,000000	0,001784
21,000000	0,001784
22,000000	0,001784
23,000000	0,001784
24,000000	0,001784
25,000000	0,001784
26,000000	0,001783
27,000000	0,001783
28,000000	0,001783
29,000000	0,001783
30,000000	0,001783
31,000000	0,001783
32,000000	0,001783
33,000000	0,001783
34,000000	0,001782
35,000000	0,001782
36,000000	0,001782
37,000000	0,001782
38,000000	0,001782
39,000000	0,001782
40,000000	0,001782
41,000000	0,001781
42,000000	0,001781
43,000000	0,001781
44,000000	0,001781
45,000000	0,001781
46,000000	0,001781
47,000000	0,001780
48,000000	0,001779
49,000000	0,001749
