Voltage[V]	Current[mA]
0.000000	3.976384E-8
0.001000	3.898686E-8
0.002000	5.153187E-8
0.003000	5.067258E-8
0.004000	1.062068E-6
0.005000	3.043718E-8
0.006000	2.766330E-8
0.007000	5.739672E-8
0.008000	5.420172E-8
0.009000	9.919434E-9
0.010000	1.259611E-8
0.011000	1.743491E-8
0.012000	9.459573E-9
0.013000	5.155698E-8
0.014000	5.440062E-8
0.015000	4.993673E-8
0.016000	6.933404E-9
0.017000	1.270323E-8
0.018000	1.267208E-8
0.019000	2.264536E-8
0.020000	5.032810E-8
0.021000	1.419418E-8
0.022000	6.309226E-8
0.023000	6.649683E-8
0.024000	2.269307E-8
0.025000	2.944450E-8
0.026000	2.591553E-8
0.027000	4.760727E-8
0.028000	5.753033E-8
0.029000	7.632436E-8
0.030000	3.712524E-8
0.031000	4.436470E-8
0.032000	5.087413E-8
0.033000	5.545458E-8
0.034000	5.982928E-8
0.035000	6.021673E-8
0.036000	8.919787E-8
0.037000	9.480436E-8
0.038000	9.548765E-8
0.039000	1.062124E-7
0.040000	1.336362E-7
0.041000	5.151691E-7
0.042000	1.313676E-8
0.043000	1.232695E-7
0.044000	1.385134E-7
0.045000	5.841792E-8
0.046000	4.406582E-7
0.047000	3.778191E-7
0.048000	1.445324E-7
0.049000	5.373201E-7
0.050000	1.244909E-7
0.051000	1.272091E-7
0.052000	5.377022E-7
0.053000	1.178331E-7
0.054000	2.330957E-7
0.055000	1.460862E-7
0.056000	1.522560E-7
0.057000	1.315614E-7
0.058000	1.632200E-7
0.059000	1.569868E-7
0.060000	2.106466E-7
0.061000	1.635203E-7
0.062000	1.648744E-7
0.063000	1.696494E-7
0.064000	1.845337E-7
0.065000	1.768865E-7
0.066000	1.863526E-7
0.067000	2.292617E-7
0.068000	9.244360E-8
0.069000	2.341125E-7
0.070000	2.514804E-7
0.071000	4.121449E-7
0.072000	2.625662E-7
0.073000	2.286093E-7
0.074000	2.442279E-7
0.075000	2.842814E-7
0.076000	2.554945E-7
0.077000	2.690460E-7
0.078000	2.699674E-7
0.079000	3.037216E-7
0.080000	3.143964E-7
0.081000	3.274903E-7
0.082000	3.349636E-7
0.083000	4.536173E-7
0.084000	2.964222E-7
0.085000	3.286679E-7
0.086000	3.372569E-7
0.087000	3.516572E-7
0.088000	2.769167E-7
0.089000	3.609483E-7
0.090000	3.745776E-7
0.091000	3.844501E-7
0.092000	3.902670E-7
0.093000	4.351966E-7
0.094000	3.516157E-7
0.095000	1.089777E-6
0.096000	8.229244E-8
0.097000	1.719227E-7
0.098000	1.465817E-6
