Voltage[V]	Current[mA]
0,000000	1,578597E-7
0,010000	2,510973E-6
0,020000	5,942900E-6
0,030000	9,003825E-6
0,040000	1,214732E-5
0,050000	1,341951E-5
0,060000	1,350880E-5
0,070000	1,358852E-5
0,080000	1,366018E-5
0,090000	1,368411E-5
0,100000	1,369953E-5
0,110000	1,369655E-5
0,120000	1,369108E-5
0,130000	1,370231E-5
0,140000	1,370313E-5
0,150000	1,370999E-5
0,160000	1,370610E-5
0,170000	1,371291E-5
0,180000	1,371628E-5
0,190000	1,371633E-5
0,200000	1,372354E-5
0,210000	1,372615E-5
0,220000	1,371006E-5
0,230000	1,369730E-5
0,240000	1,370930E-5
0,250000	1,371010E-5
0,260000	1,371037E-5
0,270000	1,371311E-5
0,280000	1,399718E-5
0,290000	1,795467E-5
0,300000	1,795677E-5
0,310000	1,803052E-5
0,320000	1,803112E-5
0,330000	1,803319E-5
0,340000	1,803624E-5
0,350000	1,803659E-5
0,360000	1,803882E-5
0,370000	1,803815E-5
0,380000	1,804040E-5
0,390000	1,804224E-5
0,400000	1,804289E-5
0,410000	1,804158E-5
0,420000	1,804312E-5
0,430000	1,804283E-5
0,440000	1,804321E-5
0,450000	1,804225E-5
0,460000	1,804126E-5
0,470000	1,804127E-5
0,480000	1,804109E-5
0,490000	1,804151E-5
0,500000	1,804099E-5
0,510000	1,804153E-5
0,520000	1,804202E-5
0,530000	1,804345E-5
0,540000	1,804170E-5
0,550000	1,804135E-5
0,560000	1,804297E-5
0,570000	1,804128E-5
0,580000	1,804018E-5
0,590000	1,804236E-5
0,600000	1,804128E-5
0,610000	1,804189E-5
0,620000	1,804358E-5
0,630000	1,804364E-5
0,640000	1,804484E-5
0,650000	1,804600E-5
0,660000	1,804433E-5
0,670000	1,804433E-5
0,680000	1,804399E-5
0,690000	1,804410E-5
0,700000	1,804421E-5
0,710000	1,804327E-5
0,720000	1,804460E-5
0,730000	1,804523E-5
0,740000	1,804504E-5
0,750000	1,804392E-5
0,760000	1,804460E-5
0,770000	1,804505E-5
0,780000	1,804558E-5
0,790000	1,804450E-5
0,800000	1,804381E-5
0,810000	1,804402E-5
0,820000	1,804477E-5
0,830000	1,804444E-5
0,840000	1,804429E-5
0,850000	1,804441E-5
0,860000	1,804624E-5
0,870000	1,804490E-5
0,880000	1,804445E-5
0,890000	1,804521E-5
0,900000	1,804615E-5
0,910000	1,804663E-5
0,920000	1,804599E-5
0,930000	1,804414E-5
0,940000	1,804468E-5
0,950000	1,804442E-5
0,960000	1,804334E-5
0,970000	1,804514E-5
0,980000	1,804416E-5
0,990000	1,804238E-5
1,000000	1,804480E-5
1,010000	1,804425E-5
1,020000	1,804457E-5
1,030000	1,804516E-5
1,040000	1,804514E-5
1,050000	1,804485E-5
1,060000	1,804487E-5
1,070000	1,804376E-5
1,080000	1,804331E-5
1,090000	1,804360E-5
1,100000	1,804510E-5
1,110000	1,804536E-5
1,120000	1,804390E-5
1,130000	1,804460E-5
1,140000	1,804484E-5
1,150000	1,804514E-5
1,160000	1,804500E-5
1,170000	1,804372E-5
1,180000	1,804367E-5
1,190000	1,804237E-5
1,200000	1,804148E-5
1,210000	1,804270E-5
1,220000	1,804330E-5
1,230000	1,804110E-5
1,240000	1,804062E-5
1,250000	1,804013E-5
1,260000	1,804109E-5
1,270000	1,804199E-5
1,280000	1,804211E-5
1,290000	1,804184E-5
1,300000	1,804456E-5
1,310000	1,804228E-5
1,320000	1,804196E-5
1,330000	1,804212E-5
1,340000	1,804316E-5
1,350000	1,804367E-5
1,360000	1,804458E-5
1,370000	1,804336E-5
1,380000	1,804356E-5
1,390000	1,804235E-5
1,400000	1,804054E-5
1,410000	1,804074E-5
1,420000	1,804037E-5
1,430000	1,804059E-5
1,440000	1,804083E-5
1,450000	1,804148E-5
1,460000	1,804023E-5
1,470000	1,804248E-5
1,480000	1,804298E-5
1,490000	1,804351E-5
1,500000	1,804256E-5
1,510000	1,804019E-5
1,520000	1,804319E-5
1,530000	1,804273E-5
1,540000	1,804470E-5
1,550000	1,804390E-5
1,560000	1,804358E-5
1,570000	1,804355E-5
1,580000	1,804408E-5
1,590000	1,804240E-5
1,600000	1,804133E-5
1,610000	1,804253E-5
1,620000	1,804281E-5
1,630000	1,804081E-5
1,640000	1,804069E-5
1,650000	1,804193E-5
1,660000	1,804094E-5
1,670000	1,803961E-5
1,680000	1,803962E-5
1,690000	1,804043E-5
1,700000	1,804020E-5
1,710000	1,804128E-5
1,720000	1,804155E-5
1,730000	1,803976E-5
1,740000	1,804183E-5
1,750000	1,804269E-5
1,760000	1,804402E-5
1,770000	1,804474E-5
1,780000	1,804480E-5
1,790000	1,804391E-5
1,800000	1,804537E-5
1,810000	1,804485E-5
1,820000	1,804358E-5
1,830000	1,804352E-5
1,840000	1,804286E-5
1,850000	1,804288E-5
1,860000	1,804241E-5
1,870000	1,804321E-5
1,880000	1,804235E-5
1,890000	1,804158E-5
1,900000	1,804250E-5
1,910000	1,804315E-5
1,920000	1,804234E-5
1,930000	1,804220E-5
1,940000	1,804259E-5
1,950000	1,804271E-5
1,960000	1,804313E-5
1,970000	1,804023E-5
1,980000	1,804138E-5
1,990000	1,804176E-5
2,000000	1,804272E-5
