Voltage[V]	Current[mA]
0,000000	2,036618E-8
0,500000	0,000169
1,000000	0,033753
1,500000	0,050603
2,000000	0,067456
2,500000	0,084309
3,000000	0,101196
3,500000	0,118051
4,000000	0,134901
4,500000	0,151751
5,000000	0,168637
5,500000	0,178462
6,000000	0,178443
6,500000	0,178433
7,000000	0,178427
7,500000	0,178436
8,000000	0,178424
8,500000	0,178457
9,000000	0,178450
9,500000	0,178455
10,000000	0,178446
10,500000	0,178447
11,000000	0,178446
11,500000	0,178436
12,000000	0,178429
12,500000	0,178410
13,000000	0,178403
13,500000	0,178393
14,000000	0,178357
14,500000	0,178425
15,000000	0,178438
15,500000	0,178428
16,000000	0,178417
16,500000	0,178399
17,000000	0,178385
17,500000	0,178321
18,000000	0,178318
18,500000	0,178312
19,000000	0,178308
19,500000	0,178318
20,000000	0,178324
20,500000	0,178323
21,000000	0,178339
21,500000	0,178321
22,000000	0,178333
22,500000	0,178327
23,000000	0,178309
23,500000	0,178309
24,000000	0,178306
24,500000	0,178293
25,000000	0,178274
25,500000	0,178261
26,000000	0,178287
26,500000	0,178272
27,000000	0,178279
27,500000	0,178262
28,000000	0,178245
28,500000	0,178251
29,000000	0,178248
29,500000	0,178230
30,000000	0,178248
30,500000	0,178238
31,000000	0,178260
31,500000	0,178251
32,000000	0,178255
32,500000	0,178237
33,000000	0,178257
33,500000	0,178253
34,000000	0,178245
34,500000	0,178249
35,000000	0,178249
35,500000	0,178247
36,000000	0,178254
36,500000	0,178274
37,000000	0,178274
37,500000	0,178262
38,000000	0,178255
38,500000	0,178258
39,000000	0,178250
39,500000	0,178253
40,000000	0,178242
40,500000	0,178241
41,000000	0,178202
41,500000	0,178234
42,000000	0,178240
42,500000	0,178225
43,000000	0,178200
43,500000	0,178213
44,000000	0,178218
44,500000	0,178210
45,000000	0,178199
45,500000	0,178203
46,000000	0,178198
46,500000	0,178218
47,000000	0,178198
47,500000	0,178215
48,000000	0,178215
48,500000	0,178200
49,000000	0,178201
