Voltage[V]	Current[mA]
40,000000	0,173645
39,000000	0,173824
38,000000	0,173878
37,000000	0,173810
36,000000	0,173989
35,000000	0,174009
34,000000	0,174052
33,000000	0,173960
32,000000	0,174050
31,000000	0,173873
30,000000	0,174067
29,000000	0,174051
28,000000	0,174019
27,000000	0,174050
26,000000	0,173997
25,000000	0,174037
24,000000	0,174405
23,000000	0,174390
22,000000	0,174385
21,000000	0,174382
20,000000	0,174370
19,000000	0,174382
18,000000	0,174363
17,000000	0,174368
16,000000	0,175030
15,000000	0,174383
14,000000	0,174372
13,000000	0,174388
12,000000	0,174390
11,000000	0,174397
10,000000	0,174387
9,000000	0,174371
8,000000	0,174373
7,000000	0,174355
6,000000	0,174357
5,000000	0,174347
4,000000	0,175147
3,000000	0,176601
2,000000	0,178063
1,000000	0,179511
0,000000	1,057607E-8
1,000000	1,690807E-7
2,000000	2,518677E-7
3,000000	2,067753E-7
4,000000	2,172425E-7
5,000000	2,226920E-7
6,000000	2,987436E-7
7,000000	2,400802E-7
8,000000	2,490584E-7
9,000000	3,169638E-7
10,000000	3,287613E-7
11,000000	2,899072E-7
12,000000	3,441436E-7
13,000000	3,052295E-7
14,000000	3,709115E-7
15,000000	3,254201E-7
16,000000	3,967829E-7
17,000000	1,866432E-8
18,000000	3,651308E-7
19,000000	4,494428E-7
20,000000	4,648488E-7
21,000000	4,266032E-7
22,000000	5,046937E-7
23,000000	4,706552E-7
24,000000	5,551173E-7
25,000000	5,270036E-7
26,000000	6,108925E-7
27,000000	6,006493E-7
28,000000	6,896163E-7
29,000000	6,734648E-7
30,000000	7,678953E-7
31,000000	8,371429E-7
32,000000	8,765476E-7
33,000000	1,048003E-6
34,000000	1,157065E-6
35,000000	1,375841E-6
36,000000	1,494965E-6
37,000000	1,660862E-6
38,000000	1,877814E-6
39,000000	1,990734E-6
40,000000	2,546032E-6
41,000000	2,365350E-6
42,000000	2,512143E-6
43,000000	2,746335E-6
44,000000	2,893910E-6
45,000000	3,136481E-6
46,000000	3,259722E-6
47,000000	3,466750E-6
48,000000	3,583095E-6
49,000000	3,786720E-6
50,000000	3,960591E-6
51,000000	4,700521E-6
52,000000	1,790950E-5
