Voltage[V]	Current[mA]
0,000000	1,905086E-7
0,250000	8,440315E-5
0,500000	0,000169
0,750000	0,025375
1,000000	0,033748
1,250000	0,042179
1,500000	0,050620
1,750000	0,059052
2,000000	0,067477
2,250000	0,075920
2,500000	0,084358
2,750000	0,092778
3,000000	0,101232
3,250000	0,109662
3,500000	0,118085
3,750000	0,126534
4,000000	0,134970
4,250000	0,143391
4,500000	0,151830
4,750000	0,160275
5,000000	0,168702
5,250000	0,177129
5,500000	0,180794
5,750000	0,181305
6,000000	0,181267
6,250000	0,181252
6,500000	0,181245
6,750000	0,181212
7,000000	0,181155
7,250000	0,181229
7,500000	0,181201
7,750000	0,181197
8,000000	0,181182
8,250000	0,181114
8,500000	0,181192
8,750000	0,181185
9,000000	0,181169
9,250000	0,181194
9,500000	0,181201
9,750000	0,181243
10,000000	0,181196
