Voltage[V]	Current[mA]
0,000000	7,103188E-8
0,100000	3,379072E-5
0,200000	6,778055E-5
0,300000	0,000101
0,400000	0,000135
0,500000	0,000169
0,600000	0,000203
0,700000	0,023622
0,800000	0,026990
0,900000	0,030353
1,000000	0,033752
1,100000	0,037117
1,200000	0,040480
1,300000	0,043844
1,400000	0,047241
1,500000	0,050604
1,600000	0,053968
1,700000	0,057332
1,800000	0,060729
1,900000	0,064093
2,000000	0,067456
2,100000	0,070821
2,200000	0,074218
2,300000	0,077582
2,400000	0,080945
2,500000	0,084308
2,600000	0,087706
2,700000	0,091070
2,800000	0,094434
2,900000	0,097797
3,000000	0,101195
3,100000	0,104560
3,200000	0,107924
3,300000	0,111288
3,400000	0,114685
3,500000	0,118048
3,600000	0,121412
3,700000	0,124776
3,800000	0,128173
3,900000	0,131536
4,000000	0,134900
4,100000	0,138258
4,200000	0,141657
4,300000	0,145021
4,400000	0,148384
4,500000	0,151747
4,600000	0,155144
4,700000	0,158509
4,800000	0,161872
4,900000	0,165236
5,000000	0,168633
